,Feature Type,Municipality,Place Name,Longitude,Latitude,Historical Information,Url,Suburb,Categories
21,Beach,Mornington Peninsula Shire Council,Dimmicks Beach,144.7760781,-38.3824502,,,Blairgowrie,"['Mornington Peninsula Shire Council', 'Blairgowrie', 'Tourist', 'Beach', 'Beach']"
22,Beach,Mornington Peninsula Shire Council,Earimil Beach North,145.076373,-38.1781377,,,Mount Eliza,"['Mornington Peninsula Shire Council', 'Mount Eliza', 'Tourist', 'Beach', 'Beach']"
23,Beach,Mornington Peninsula Shire Council,Earimil Beach South,145.0740278,-38.1823611,,,Mount Eliza,"['Mornington Peninsula Shire Council', 'Mount Eliza', 'Tourist', 'Beach', 'Beach']"
24,Beach,Mornington Peninsula Shire Council,Fishermans Beach,145.0297724,-38.2255685,,,Mount Martha,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Tourist', 'Beach', 'Beach']"
25,Beach,Mornington Peninsula Shire Council,Fossil Beach,145.027703,-38.2417384,,,Mornington,"['Mornington Peninsula Shire Council', 'Mornington', 'Tourist', 'Beach', 'Beach']"
26,Beach,Mornington Peninsula Shire Council,Fosters Beach,145.0286942,-38.2386287,,,Mornington,"['Mornington Peninsula Shire Council', 'Mornington', 'Tourist', 'Beach', 'Beach']"
27,Beach,Mornington Peninsula Shire Council,Gunnamatta Beach,144.87105660000000,-38.4586709,From the Aboriginal term for sandhills.,http://www.bcs.asn.au/vic_coast.pdf,Cape Schanck,"['Mornington Peninsula Shire Council', 'Cape Schanck', 'Tourist', 'Beach', 'Beach']"
28,Beach,Mornington Peninsula Shire Council,Hawker Beach,145.0234648,-38.2568785,,,Mount Martha,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Tourist', 'Beach', 'Beach']"
29,Beach,Mornington Peninsula Shire Council,Jacks Beach,145.2047933,-38.3370691,'Jacks Beach is the name used by local people because the land adjacent was owned by the Jack family from 1908 until 1966.',,Crib Point,"['Mornington Peninsula Shire Council', 'Crib Point', 'Tourist', 'Beach', 'Beach']"
30,Beach,Mornington Peninsula Shire Council,Koonya Beach,144.7638364,-38.3540582,,,Blairgowrie,"['Mornington Peninsula Shire Council', 'Blairgowrie', 'Tourist', 'Beach', 'Beach']"
