,Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Categories,Historical Information,Url
1294,Whitehorse City Council,BallyShannassy Park,Ashwood,-37.856525,145.135184,Cricket,2.0,Synthetic Pitch,3. Average,Unisex,Highbury Road Ashwood 3147,,"['Whitehorse City Council', 'Ashwood', 'Sports', 'Cricket']",,
1295,Whitehorse City Council,Box Hill Gardens,Box Hill,-37.814683,145.121806,Cricket,1.0,Synthetic Pitch,,,Irving Avenue Box Hill 3128,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Cricket']",,
1296,Whitehorse City Council,Davey Lane,Forest Hill,-37.844914,145.176188,Cricket,1.0,Synthetic Pitch,,,Jolimont Road Forest Hill 3131,,"['Whitehorse City Council', 'Forest Hill', 'Sports', 'Cricket']",,
1297,Whitehorse City Council,Highbury Park,Burwood East,-37.858779,145.14998900000000,Cricket,1.0,Synthetic Pitch,,,Highbury Road Burwood East 3151,,"['Whitehorse City Council', 'Burwood East', 'Sports', 'Cricket']",,
1298,Whitehorse City Council,Mahoneys Reserve,Forest Hill,-37.842729,145.161879,Cricket,3.0,Synthetic Pitch,4. Good,"Female, Male, Umpire/Officials",Mahoneys Road Forest Hill 3131,,"['Whitehorse City Council', 'Forest Hill', 'Sports', 'Cricket']",,
1299,Whitehorse City Council,Mirrabooka Reserve,Blackburn South,-37.840531,145.149588,Cricket,3.0,Synthetic Pitch,4. Good,"Female, Male, Umpire/Officials",Holland Road Blackburn South 3130,,"['Whitehorse City Council', 'Blackburn South', 'Sports', 'Cricket']",,
1300,Whitehorse City Council,Terrara Park,Vermont South,-37.854244,145.193096,Cricket,3.0,Synthetic Pitch,3. Average,"Female, Male, Umpire/Officials",Terrara Road Vermont South 3133,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Cricket']",,
1301,Whitehorse City Council,Wattle Park,Surrey Hills,-37.839344,145.10439,Cricket,1.0,Turf Pitch,,,Riversdale Road Surrey Hills 3127,,"['Whitehorse City Council', 'Surrey Hills', 'Sports', 'Cricket']",,
1302,Whitehorse City Council,Advantage Health & Fitness,Blackburn South,-37.840231,145.13888900000000,Fitness / Gymnasium Workouts,1.0,,,,41 Swan Street Blackburn South 3130,,"['Whitehorse City Council', 'Blackburn South', 'Sports', 'Gymnasium']",,
1303,Whitehorse City Council,Anytime Fitness,Mitcham,-37.815908,145.193752,Fitness / Gymnasium Workouts,1.0,,,,1/517 Whitehorse Road Mitcham 3132,,"['Whitehorse City Council', 'Mitcham', 'Sports', 'Gymnasium']",,
1304,Whitehorse City Council,Aqualink Nunawading,Forest Hill,-37.837027,145.175526,Fitness / Gymnasium Workouts,1.0,,5. Very Good,"Female, Male",Fraser Place Forest Hill 3131,,"['Whitehorse City Council', 'Forest Hill', 'Sports', 'Gymnasium']",,
1305,Whitehorse City Council,Contours Express Mitcham,Mitcham,-37.815794,145.19282000000000,Fitness / Gymnasium Workouts,1.0,,,,27 Enterprise Way Mitcham 3132,,"['Whitehorse City Council', 'Mitcham', 'Sports', 'Gymnasium']",,
1306,Whitehorse City Council,Curves Blackburn,Blackburn,-37.819893,145.152757,Fitness / Gymnasium Workouts,1.0,,,,8A Blackburn Road Blackburn 3130,,"['Whitehorse City Council', 'Blackburn', 'Sports', 'Gymnasium']",,
1307,Whitehorse City Council,Fernwood Women's Health Club Mitcham,Mitcham,-37.81631,145.196583,Fitness / Gymnasium Workouts,1.0,,,,602 Whitehorse Road Mitcham 3132,,"['Whitehorse City Council', 'Mitcham', 'Sports', 'Gymnasium']",,
1308,Whitehorse City Council,Genesis Box Hill,Box Hill South,-37.836619,145.123374,Fitness / Gymnasium Workouts,1.0,,,,321 Middlebourgh Road Box Hill South 3128,,"['Whitehorse City Council', 'Box Hill South', 'Sports', 'Gymnasium']",,
1309,Whitehorse City Council,Global One Fitness,Blackburn,-37.819317,145.14975900000000,Fitness / Gymnasium Workouts,1.0,,,,20 Station Street Blackburn 3130,,"['Whitehorse City Council', 'Blackburn', 'Sports', 'Gymnasium']",,
1310,Whitehorse City Council,Hammer's Gym,Blackburn,-37.81829000000000,145.160646,Fitness / Gymnasium Workouts,1.0,,,,198 Whitehorse Road Blackburn 3130,,"['Whitehorse City Council', 'Blackburn', 'Sports', 'Gymnasium']",,
1311,Whitehorse City Council,Healthways Recreation Centre,Mont Albert,-37.808888,145.10880500000000,Fitness / Gymnasium Workouts,1.0,,,,11 Arcade Road Mont Albert 3129,,"['Whitehorse City Council', 'Mont Albert', 'Sports', 'Gymnasium']",,
1312,Whitehorse City Council,Knockout Fitness & Boxing,Blackburn,-37.81829000000000,145.160646,Fitness / Gymnasium Workouts,1.0,,,,198 Whitehorse Road Blackburn 3130,,"['Whitehorse City Council', 'Blackburn', 'Sports', 'Gymnasium']",,
1313,Whitehorse City Council,Re-Creation Burwood East Health Club,Burwood East,-37.851883,145.132394,Fitness / Gymnasium Workouts,1.0,,,,172 Burwood Hwy Burwood East 3151,,"['Whitehorse City Council', 'Burwood East', 'Sports', 'Gymnasium']",,
1314,Whitehorse City Council,Shape Station,Burwood,-37.850087,145.119814,Fitness / Gymnasium Workouts,1.0,,,,59 Station Street Burwood 3125,,"['Whitehorse City Council', 'Burwood', 'Sports', 'Gymnasium']",,
1315,Whitehorse City Council,Snap Fitness Vermont South,Vermont South,-37.855714,145.180138,Fitness / Gymnasium Workouts,,,,,475 Burwood Hwy Vermont South 3133,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Gymnasium']",,
1316,Whitehorse City Council,Whitehorse Fitness,Box Hill,-37.819317,145.123578,Fitness / Gymnasium Workouts,1.0,,,,20 Bank Street Box Hill 3128,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Gymnasium']",,
1317,Whitehorse City Council,Box Hill Golf Club,Burwood,-37.839822,145.122439,Golf,1.0,18 Hole Course - Private,,,Station Street Burwood 3125,,"['Whitehorse City Council', 'Burwood', 'Sports', 'Golf']",,
1318,Whitehorse City Council,Morack Public Golf Course,Vermont,-37.850664,145.204442,Golf,1.0,18 Hole Course - Public,4. Good,"Female, Male",East Road Vermont 3133,,"['Whitehorse City Council', 'Vermont', 'Sports', 'Golf']",,
1319,Whitehorse City Council,Eastern Gymnastics Club,Box Hill South,-37.834172,145.1334,Gymnastics,,,,,21 Clarice Road Box Hill South 3128,,"['Whitehorse City Council', 'Box Hill South', 'Sports', 'Gymnastics']",,
1320,Whitehorse City Council,Eastern Gymnastics Club (Box Hill North Primary School),Box Hill North,-37.801224,145.123431,Gymnastics,,,,,Elizabeth Street Box Hill North 3129,,"['Whitehorse City Council', 'Box Hill North', 'Sports', 'Gymnastics']",,
1321,Whitehorse City Council,Nunawading Gymnastic Club,Nunawading,-37.818146,145.164638,Gymnastics,,,,,Whitehorse Road Nunawading 3131,,"['Whitehorse City Council', 'Nunawading', 'Sports', 'Gymnastics']",,
1322,Whitehorse City Council,Koonung Secondary College,Box Hill,-37.803174,145.11582,Hockey,1.0,Artificial Turf,,,Elgar Road Box Hill 3128,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Hockey']",,
1323,Whitehorse City Council,Bennettswood Bowling Club,Burwood,-37.841883,145.12133800000000,Lawn Bowls,2.0,Grass,4. Good,,Station Street Burwood 3125,,"['Whitehorse City Council', 'Burwood', 'Sports']",,
1324,Whitehorse City Council,Blackburn Bowling Club,Blackburn,-37.82683,145.140981,Lawn Bowls,1.0,Artificial Turf,3. Average,,65 Pakenham Street Blackburn 3130,,"['Whitehorse City Council', 'Blackburn', 'Sports']",,
1325,Whitehorse City Council,Blackburn North Bowling Club,Blackburn,-37.809737,145.150301,Lawn Bowls,2.0,Grass,3. Average,,63 Springfield Road Blackburn 3130,,"['Whitehorse City Council', 'Blackburn', 'Sports']",,
1326,Whitehorse City Council,Box Hill RSL Bowls Club,Box Hill,-37.815319,145.120148,Lawn Bowls,1.0,Grass,,,26 Nelson Road Box Hill 3128,,"['Whitehorse City Council', 'Box Hill', 'Sports']",,
1327,Whitehorse City Council,Mitcham Bowling Club,Mitcham,-37.809912,145.19204,Lawn Bowls,2.0,Grass,4. Good,"Female, Male",Mitcham Road Mitcham 3132,,"['Whitehorse City Council', 'Mitcham', 'Sports']",,
1328,Whitehorse City Council,Vermont South Bowling Club,Vermont South,-37.85238,145.179508,Lawn Bowls,2.0,Grass,5. Very Good,"Female, Male",Livingstone Road Vermont South 3133,,"['Whitehorse City Council', 'Vermont South', 'Sports']",,
1329,Whitehorse City Council,Vermont South Skate Park,Vermont South,-37.84339600000000,145.200118,Skating,1.0,,,,Morack Road Vermont South 3133,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Skating']",,
1330,Whitehorse City Council,Wembley Park,Box Hill South,-37.830688,145.133035,Soccer,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Central Road Box Hill South 3129,,"['Whitehorse City Council', 'Box Hill South', 'Sports', 'Soccer']",,
1331,Whitehorse City Council,Box Hill Futsal ( Box Hill High School),Box Hill,-37.821281,145.137604,Soccer (Indoor Soccer / Futsal),1.0,Wooden Gymnasium,,,Middlebourgh Road Box Hill 3129,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Soccer']",,
1332,Whitehorse City Council,Bluebell Hill Tennis Club,Surrey Hills,-37.829773,145.10666,Tennis (Outdoor),2.0,Hard Court,2. Poor,,Erasmus Street Surrey Hills 3127,,"['Whitehorse City Council', 'Surrey Hills', 'Sports', 'Tennis']",,
1333,Whitehorse City Council,Box Hill Tennis Club,Surrey Hills,-37.836985,145.12033300000000,Tennis (Outdoor),7.0,Hard Court,3. Average,"Female, Male",Cyril Street Surrey Hills 3127,,"['Whitehorse City Council', 'Surrey Hills', 'Sports', 'Tennis']",,
1334,Whitehorse City Council,Charlesworth Park,Vermont South,-37.852209,145.17944600000000,Tennis (Outdoor),7.0,Hard Court,3. Average,"Female, Male",Livingstone Road Vermont South 3133,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Tennis']",,
1335,Whitehorse City Council,Holy Savior Tennis Club,Vermont South,-37.86077,145.174775,Tennis (Outdoor),6.0,Hard Court,,,765 Sherwood Road Vermont South 3133,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Tennis']",,
1336,Whitehorse City Council,North Box Hill Tennis Club,Box Hill North,-37.79890200000000,145.12499,Tennis (Outdoor),6.0,Hard Court,3. Average,"Female, Male",Elizabeth Street Box Hill North 3129,,"['Whitehorse City Council', 'Box Hill North', 'Sports', 'Tennis']",,
1337,Whitehorse City Council,Nunawading Tennis Club,Nunawading,-37.81016,145.16706200000000,Tennis (Outdoor),7.0,Hard Court,3. Average,"Female, Male",Lane Street Nunawading 3131,,"['Whitehorse City Council', 'Nunawading', 'Sports', 'Tennis']",,
1338,Whitehorse City Council,Vermont Tennis Club,Vermont,-37.840591,145.188486,Tennis (Outdoor),6.0,Hard Court,4. Good,"Female, Male",Nunkeri Street Vermont 3133,,"['Whitehorse City Council', 'Vermont', 'Sports', 'Tennis']",,
1339,Whitehorse City Council,BTYC Gymnastics,Donvale,-37.80382,145.178021,Gymnastics,,,,,360 Springvale Road Donvale 3111,,"['Whitehorse City Council', 'Donvale', 'Sports', 'Gymnastics']",,
1340,Greater Dandenong City Council,Clow St Recreation Reserve,Dandenong,-37.984995,145.22906800000000,Athletics,1.0,Grass Running Track,,,Clow Street Dandenong 3175,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Athletics']",,
1341,Greater Dandenong City Council,Ross Reserve,Noble Park,-37.961328,145.171495,Athletics,1.0,Synthetic Running Track,5. Very Good,"Female, Male, Umpire/Officials",Memorial Drive Noble Park 3174,,"['Greater Dandenong City Council', 'Noble Park', 'Sports', 'Athletics']",,
1342,Greater Dandenong City Council,Alex Nelson Reserve,Springvale,-37.974962,145.153433,Australian Rules Football,1.0,Grass,,,Harold Road Springvale 3171,,"['Greater Dandenong City Council', 'Springvale', 'Sports', 'Football']",,
1343,Greater Dandenong City Council,BJ Powell Reserve,Noble Park North,-37.953837,145.193877,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Halton Road Noble Park North 3174,,"['Greater Dandenong City Council', 'Noble Park North', 'Sports', 'Football']",,
1344,Greater Dandenong City Council,Dandenong Park (Shepley Oval),Dandenong,-37.9954,145.221365,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Pultney Street Dandenong 3175,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Football']",,
1345,Greater Dandenong City Council,Edinburgh Reserve,Mulgrave,-37.936376,145.168138,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Dowling Avenue Mulgrave 3170,,"['Greater Dandenong City Council', 'Mulgrave', 'Sports', 'Football']",,
1346,Greater Dandenong City Council,Frederick Watcher Reserve,Keysborough,-37.986985,145.17481,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Bloomfield Road Keysborough 3173,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Football']",,
1347,Greater Dandenong City Council,Greaves Reserve,Dandenong,-37.984195,145.197572,Australian Rules Football,3.0,Grass,4. Good,"Female, Male, Umpire/Officials",Attenborough Street Dandenong 3175,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Football']",,
1348,Greater Dandenong City Council,Keysborough Reserve,Keysborough,-37.994562,145.167688,Australian Rules Football,1.0,Grass,4. Good,"Female, Male, Umpire/Officials",Cheltnam Road Keysborough 3173,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Football']",,
1349,Greater Dandenong City Council,Lois Twohig Reserve,Dandenong North,-37.962081,145.21700800000000,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Carlton Road Dandenong North 3175,,"['Greater Dandenong City Council', 'Dandenong North', 'Sports', 'Football']",,
1350,Greater Dandenong City Council,Maurie Jarvis Woodland,Keysborough,-37.996886,145.155004,Australian Rules Football,1.0,Grass,,,Lake Edge Drive Keysborough 3173,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Football']",,
1351,Greater Dandenong City Council,Noble Park Reserve,Noble Park,-37.97745,145.169162,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Moodemere Street Noble Park 3174,,"['Greater Dandenong City Council', 'Noble Park', 'Sports', 'Football']",,
1352,Greater Dandenong City Council,Springvale Reserve,Springvale,-37.943645,145.147509,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Ericksen Street Springvale 3171,,"['Greater Dandenong City Council', 'Springvale', 'Sports', 'Football']",,
1353,Greater Dandenong City Council,Thomas P Carroll Reserve,Dandenong,-37.99511500000000,145.226746,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Box Street Dandenong 3175,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Football']",,
1354,Greater Dandenong City Council,Noble Park Community Centre,Noble Park,-37.961328,145.171495,Badminton,3.0,Wooden Gymnasium,4. Good,"Female, Male",Memorial Drive Noble Park 3174,,"['Greater Dandenong City Council', 'Noble Park', 'Sports', 'Badminton']",,
1355,Greater Dandenong City Council,Springers Leisure Centre,Keysborough,-37.995822,145.15391500000000,Badminton,10.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",400 Cheltnam Road Keysborough 3173,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Badminton']",,
1356,Greater Dandenong City Council,Dandenong Indoor Sports Stadium,Dandenong North,-37.964204,145.22650900000000,Basketball,15.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",270 Stud Road Dandenong North 3175,,"['Greater Dandenong City Council', 'Dandenong North', 'Sports', 'Basketball']",,
1357,Greater Dandenong City Council,Hemmings Park,Dandenong,-37.980806,145.208629,BMX,1.0,Dirt,5. Very Good,,Princess Hwy Dandenong 3175,,"['Greater Dandenong City Council', 'Dandenong', 'Sports']",,
1358,Greater Dandenong City Council,Alexander Rd Reserve,Dandenong,-37.970923,145.195534,Cricket,1.0,Turf Pitch,,,Alexander Road Dandenong 3175,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Cricket']",,
1359,Greater Dandenong City Council,Coomoora Rd Reserve,Keysborough,-37.983689,145.149697,Cricket,1.0,Turf Pitch,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Coomoora Road Keysborough 3173,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Cricket']",,
1360,Greater Dandenong City Council,Keysborough Community Park,Keysborough,-37.989447,145.158751,Cricket,1.0,Synthetic Pitch,2. Poor,,Loxwood Avenue Keysborough 3173,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Cricket']",,
1361,Greater Dandenong City Council,Parkfield Reserve,Noble Park,-37.962026,145.18166100000000,Cricket,1.0,Turf Pitch,5. Very Good,"Female, Male, Umpire/Officials",Dunblane Road Noble Park 3174,,"['Greater Dandenong City Council', 'Noble Park', 'Sports', 'Cricket']",,
1362,Greater Dandenong City Council,Warner Reserve,Springvale,-37.946035,145.161401,Cricket,1.0,Turf Pitch,5. Very Good,"Female, Male, Umpire/Officials",Flynn Street Springvale 3171,,"['Greater Dandenong City Council', 'Springvale', 'Sports', 'Cricket']",,
1363,Greater Dandenong City Council,WJ Pav Turner Reserve,Noble Park North,-37.947531,145.192879,Cricket,1.0,Synthetic Pitch,4. Good,"Female, Male, Umpire/Officials",Jacksons Road Noble Park North 3174,,"['Greater Dandenong City Council', 'Noble Park North', 'Sports', 'Cricket']",,
1364,Greater Dandenong City Council,Springvale Indoor Sports,Springvale,-37.97511400000000,145.147312,Cricket (Indoor),,,,,546 Springvale Road Springvale 3171,,"['Greater Dandenong City Council', 'Springvale', 'Sports', 'Cricket']",,
1365,Greater Dandenong City Council,Dandenong Croquet & Bowls Club,Dandenong,-37.991802,145.21629100000000,Croquet,1.0,Grass,3. Average,"Female, Male",Pultney Street Dandenong 3175,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Croquet']",,
1366,Greater Dandenong City Council,Alphonsa Fitness Centre & Jym,Springvale,-37.949303,145.152029,Fitness / Gymnasium Workouts,1.0,,,,1 Balmoral Avenue Springvale 3171,,"['Greater Dandenong City Council', 'Springvale', 'Sports', 'Gymnasium']",,
1367,Greater Dandenong City Council,Dandenong Oasis,Dandenong,-37.971368,145.217754,Fitness / Gymnasium Workouts,1.0,,4. Good,"Female, Male, Umpire/Officials",Cleeland Street Dandenong 3175,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Gymnasium']",,
1368,Greater Dandenong City Council,Dandenong Squash & Leisure,Dandenong,-37.986158,145.206508,Fitness / Gymnasium Workouts,,,,,63 Scott Street Dandenong 3175,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Gymnasium']",,
1369,Greater Dandenong City Council,Doherty's 24 Hour Gym Dandenong,Dandenong,-37.989265,145.203498,Fitness / Gymnasium Workouts,,,,,83 Cheltenham Road Dandenong 3175,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Gymnasium']",,
1370,Greater Dandenong City Council,Genesis Dandenong,Dandenong,-37.985101,145.204549,Fitness / Gymnasium Workouts,1.0,,,,63 Scott Street Dandenong 3175,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Gymnasium']",,
1371,Greater Dandenong City Council,Noble Park Aquatic Centre,Noble Park,-37.964727,145.174049,Fitness / Gymnasium Workouts,1.0,,5. Very Good,"Female, Male, Unisex",Memorial Drive Noble Park 3174,,"['Greater Dandenong City Council', 'Noble Park', 'Sports', 'Gymnasium']",,
1372,Greater Dandenong City Council,Re-Creation Health Clubs,Keysborough,-37.994862,145.172709,Fitness / Gymnasium Workouts,1.0,,,,330 Cheltnam Road Keysborough 3173,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Gymnasium']",,
1373,Greater Dandenong City Council,Sandown Indoor Tennis & Sports Centre,Springvale,-37.941992,145.16869600000000,Fitness / Gymnasium Workouts,1.0,,,,Brough Street Springvale 3171,,"['Greater Dandenong City Council', 'Springvale', 'Sports', 'Gymnasium']",,
1374,Greater Dandenong City Council,Gaelic Park,Keysborough,-38.029248,145.180444,Gaelic Football,,Grass,,,324 Perry Road Keysborough 3173,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Football']",,
1375,Greater Dandenong City Council,Eastern Sward Golf Club,Bangholme,-38.06692,145.179927,Golf,,9 Hole Course - Private,,,Worsley Road Bangholme 3175,,"['Greater Dandenong City Council', 'Bangholme', 'Sports', 'Golf']",,
