,Municipality,Suburb
618,Melton City Council,Aintree
619,Melton City Council,Deanside
620,Melton City Council,Exford
621,Melton City Council,Fieldstone
622,Melton City Council,Fraser Rise
623,Melton City Council,Grangefields
624,Melton City Council,Parwan
625,Melton City Council,Plumpton
626,Melton City Council,Toolern Vale
627,Melton City Council,Truganina
628,Brimbank City Council,Brooklyn
629,Brimbank City Council,Keilor North
630,Port Phillip City Council,Melbourne
631,Port Phillip City Council,Ripponlea
632,Port Phillip City Council,St Kilda West
633,Port Phillip City Council,Windsor
634,Nillumbik Shire Council,Bend Of Islands
635,Nillumbik Shire Council,Cottles Bridge
636,Nillumbik Shire Council,Doreen
637,Nillumbik Shire Council,Nutfield
638,Nillumbik Shire Council,Smiths Gully
639,Nillumbik Shire Council,Watsons Creek
640,Nillumbik Shire Council,Yan Yean
641,Boroondara City Council,Mont Albert
642,Monash City Council,Hughesdale
643,Monash City Council,Oakleigh East
644,Kingston City Council,Moorabbin Airport
645,Hume City Council,Attwood
646,Hume City Council,Clarkefield
647,Hume City Council,Kalkallo
648,Hume City Council,Oaklands Junction
649,Hume City Council,Yuroke
650,Mitchell Shire Council,Beveridge
651,Mitchell Shire Council,Bylands
652,Mitchell Shire Council,Forbes
653,Mitchell Shire Council,Glenaroua
654,Mitchell Shire Council,Glenhope
655,Mitchell Shire Council,Glenhope East
656,Mitchell Shire Council,Heathcote Junction
657,Mitchell Shire Council,Heathcote South
658,Mitchell Shire Council,High Camp
659,Mitchell Shire Council,Mangalore
660,Mitchell Shire Council,Mia Mia
661,Mitchell Shire Council,Moranding
662,Mitchell Shire Council,Northwood
663,Mitchell Shire Council,Nulla Vale
664,Mitchell Shire Council,Reedy Creek
665,Mitchell Shire Council,Sunday Creek
666,Mitchell Shire Council,Tarcombe
667,Mitchell Shire Council,Trawool
668,Mitchell Shire Council,Tyaak
669,Mitchell Shire Council,Waterford Park
670,Cardinia Shire Council,Bayles
671,Cardinia Shire Council,Bunyip North
672,Cardinia Shire Council,Caldermeade
673,Cardinia Shire Council,Catani
674,Cardinia Shire Council,Clematis
675,Cardinia Shire Council,Dalmore
676,Cardinia Shire Council,Dewhurst
677,Cardinia Shire Council,Heath Hill
678,Cardinia Shire Council,Iona
679,Cardinia Shire Council,Koo Wee Rup North
680,Cardinia Shire Council,Lang Lang East
681,Cardinia Shire Council,Longwarry
682,Cardinia Shire Council,Menzies Creek
683,Cardinia Shire Council,Monomeith
684,Cardinia Shire Council,Mount Burnett
685,Cardinia Shire Council,Nangana
686,Cardinia Shire Council,Nyora
687,Cardinia Shire Council,Officer South
688,Cardinia Shire Council,Rythdale
689,Cardinia Shire Council,Tonimbuk
690,Cardinia Shire Council,Tooradin
691,Cardinia Shire Council,Tynong North
692,Cardinia Shire Council,Vervale
693,Yarra Ranges Shire Council,Beenak
694,Yarra Ranges Shire Council,Big Pats Creek
695,Yarra Ranges Shire Council,Chum Creek
696,Yarra Ranges Shire Council,Don Valley
697,Yarra Ranges Shire Council,East Warburton
698,Yarra Ranges Shire Council,Gilderoy
699,Yarra Ranges Shire Council,Kallista
700,Yarra Ranges Shire Council,Launching Place
701,Yarra Ranges Shire Council,Matlock
702,Yarra Ranges Shire Council,Mount Toolebewong
703,Yarra Ranges Shire Council,Reefton
704,Yarra Ranges Shire Council,Seville East
705,Yarra Ranges Shire Council,Tarrawarra
706,Yarra Ranges Shire Council,Tecoma
707,Yarra Ranges Shire Council,Three Bridges
708,Yarra Ranges Shire Council,Toolangi
709,Yarra Ranges Shire Council,Wonga Park
710,Greater Dandenong City Council,Lyndhurst
711,Maroondah City Council,Park Orchards
712,Casey City Council,Blind Bight
713,Casey City Council,Cannons Creek
714,Casey City Council,Devon Meadows
715,Casey City Council,Lysterfield South
716,Banyule City Council,Briar Hill
717,Glen Eira City Council,Gardenvale
718,Glen Eira City Council,McKinnon
719,Whittlesea City Council,Donnybrook
720,Whittlesea City Council,Eden Park
721,Maribyrnong City Council,Seddon
722,Maribyrnong City Council,Tottenham
723,Manningham City Council,Warrandyte South
724,Melbourne City Council,South Wharf
725,Frankston City Council,Langwarrin South
726,Wyndham City Council,Mambourin
727,Wyndham City Council,Williams Landing
